#K-Path          Energy     s      p      d    tot
# NKPTS & NBANDS:  19 656
# Band-Index    1
   0.00000    -26.417318  0.000  0.000  0.000  0.000
   0.03508    -26.417313  0.000  0.000  0.000  0.000
   0.07015    -26.417311  0.000  0.000  0.000  0.000
   0.10523    -26.417309  0.000  0.000  0.000  0.000
   0.14030    -26.417304  0.000  0.000  0.000  0.000
   0.17538    -26.417301  0.000  0.000  0.000  0.000
   0.21045    -26.417309  0.000  0.000  0.000  0.000
   0.21045    -26.417309  0.000  0.000  0.000  0.000
   0.25095    -26.417301  0.000  0.000  0.000  0.000
   0.29145    -26.417303  0.000  0.000  0.000  0.000
   0.33196    -26.417304  0.000  0.000  0.000  0.000
   0.33196    -26.417304  0.000  0.000  0.000  0.000
   0.36667    -26.417302  0.000  0.000  0.000  0.000
   0.40139    -26.417305  0.000  0.000  0.000  0.000
   0.43610    -26.417305  0.000  0.000  0.000  0.000
   0.47082    -26.417309  0.000  0.000  0.000  0.000
   0.50553    -26.417312  0.000  0.000  0.000  0.000
   0.54025    -26.417312  0.000  0.000  0.000  0.000
   0.57496    -26.417318  0.000  0.000  0.000  0.000
 
# Band-Index    2
   0.57496    -26.088499  0.000  0.000  0.000  0.000
   0.54025    -26.088491  0.000  0.000  0.000  0.000
   0.50553    -26.088491  0.000  0.000  0.000  0.000
   0.47082    -26.088489  0.000  0.000  0.000  0.000
   0.43610    -26.088480  0.000  0.000  0.000  0.000
   0.40139    -26.088486  0.000  0.000  0.000  0.000
   0.36667    -26.088482  0.000  0.000  0.000  0.000
   0.33196    -26.088484  0.000  0.000  0.000  0.000
   0.33196    -26.088484  0.000  0.000  0.000  0.000
   0.29145    -26.088483  0.000  0.000  0.000  0.000
   0.25095    -26.088481  0.000  0.000  0.000  0.000
   0.21045    -26.088490  0.000  0.000  0.000  0.000
   0.21045    -26.088490  0.000  0.000  0.000  0.000
   0.17538    -26.088482  0.000  0.000  0.000  0.000
   0.14030    -26.088485  0.000  0.000  0.000  0.000
   0.10523    -26.088490  0.000  0.000  0.000  0.000
   0.07015    -26.088492  0.000  0.000  0.000  0.000
   0.03508    -26.088493  0.000  0.000  0.000  0.000
   0.00000    -26.088499  0.000  0.000  0.000  0.000
 
# Band-Index    3
   0.00000    -24.279208  0.000  0.000  0.000  0.000
   0.03508    -24.279205  0.000  0.000  0.000  0.000
   0.07015    -24.279202  0.000  0.000  0.000  0.000
   0.10523    -24.279201  0.000  0.000  0.000  0.000
   0.14030    -24.279199  0.000  0.000  0.000  0.000
   0.17538    -24.279194  0.000  0.000  0.000  0.000
   0.21045    -24.279201  0.000  0.000  0.000  0.000
   0.21045    -24.279201  0.000  0.000  0.000  0.000
   0.25095    -24.279187  0.000  0.000  0.000  0.000
   0.29145    -24.279185  0.000  0.000  0.000  0.000
   0.33196    -24.279175  0.000  0.000  0.000  0.000
   0.33196    -24.279175  0.000  0.000  0.000  0.000
   0.36667    -24.279177  0.000  0.000  0.000  0.000
   0.40139    -24.279186  0.000  0.000  0.000  0.000
   0.43610    -24.279185  0.000  0.000  0.000  0.000
   0.47082    -24.279193  0.000  0.000  0.000  0.000
   0.50553    -24.279198  0.000  0.000  0.000  0.000
   0.54025    -24.279202  0.000  0.000  0.000  0.000
   0.57496    -24.279208  0.000  0.000  0.000  0.000
 
# Band-Index    4
   0.57496    -24.106617  0.000  0.000  0.000  0.000
   0.54025    -24.106614  0.000  0.000  0.000  0.000
   0.50553    -24.106611  0.000  0.000  0.000  0.000
   0.47082    -24.106609  0.000  0.000  0.000  0.000
   0.43610    -24.106604  0.000  0.000  0.000  0.000
   0.40139    -24.106613  0.000  0.000  0.000  0.000
   0.36667    -24.106613  0.000  0.000  0.000  0.000
   0.33196    -24.106623  0.000  0.000  0.000  0.000
   0.33196    -24.106623  0.000  0.000  0.000  0.000
   0.29145    -24.106614  0.000  0.000  0.000  0.000
   0.25095    -24.106599  0.000  0.000  0.000  0.000
   0.21045    -24.106607  0.000  0.000  0.000  0.000
   0.21045    -24.106607  0.000  0.000  0.000  0.000
   0.17538    -24.106600  0.000  0.000  0.000  0.000
   0.14030    -24.106605  0.000  0.000  0.000  0.000
   0.10523    -24.106608  0.000  0.000  0.000  0.000
   0.07015    -24.106609  0.000  0.000  0.000  0.000
   0.03508    -24.106614  0.000  0.000  0.000  0.000
   0.00000    -24.106617  0.000  0.000  0.000  0.000
 
# Band-Index    5
   0.00000    -23.464969  0.014  0.000  0.004  0.018
   0.03508    -23.464960  0.014  0.000  0.004  0.018
   0.07015    -23.464940  0.014  0.000  0.004  0.018
   0.10523    -23.464915  0.014  0.000  0.004  0.018
   0.14030    -23.464889  0.014  0.000  0.004  0.018
   0.17538    -23.464870  0.014  0.000  0.004  0.018
   0.21045    -23.464870  0.014  0.000  0.004  0.018
   0.21045    -23.464870  0.014  0.000  0.004  0.018
   0.25095    -23.464871  0.014  0.000  0.004  0.018
   0.29145    -23.464889  0.014  0.000  0.004  0.018
   0.33196    -23.464914  0.014  0.000  0.004  0.018
   0.33196    -23.464914  0.014  0.000  0.004  0.018
   0.36667    -23.464915  0.014  0.000  0.004  0.018
   0.40139    -23.464925  0.014  0.000  0.004  0.018
   0.43610    -23.464929  0.014  0.000  0.004  0.018
   0.47082    -23.464941  0.014  0.000  0.004  0.018
   0.50553    -23.464954  0.014  0.000  0.004  0.018
   0.54025    -23.464963  0.014  0.000  0.004  0.018
   0.57496    -23.464969  0.014  0.000  0.004  0.018
 
# Band-Index    6
   0.57496    -23.123212  0.001  0.010  0.000  0.011
   0.54025    -23.123216  0.001  0.010  0.000  0.011
   0.50553    -23.123242  0.001  0.010  0.000  0.011
   0.47082    -23.123284  0.001  0.010  0.000  0.011
   0.43610    -23.123333  0.001  0.010  0.000  0.011
   0.40139    -23.123389  0.001  0.010  0.000  0.011
   0.36667    -23.123438  0.001  0.010  0.000  0.011
   0.33196    -23.123485  0.001  0.010  0.000  0.011
   0.33196    -23.123485  0.001  0.010  0.000  0.011
   0.29145    -23.123553  0.001  0.010  0.000  0.011
   0.25095    -23.123599  0.001  0.010  0.000  0.011
   0.21045    -23.123622  0.001  0.010  0.000  0.011
   0.21045    -23.123622  0.001  0.010  0.000  0.011
   0.17538    -23.123586  0.001  0.010  0.000  0.011
   0.14030    -23.123511  0.001  0.010  0.000  0.011
   0.10523    -23.123410  0.001  0.010  0.000  0.011
   0.07015    -23.123308  0.001  0.010  0.000  0.011
   0.03508    -23.123233  0.001  0.010  0.000  0.011
   0.00000    -23.123212  0.001  0.010  0.000  0.011
 
# Band-Index    7
   0.00000    -22.675825  0.000  0.008  0.000  0.008
   0.03508    -22.675894  0.000  0.008  0.000  0.008
   0.07015    -22.676092  0.000  0.008  0.000  0.008
   0.10523    -22.676365  0.000  0.008  0.000  0.008
   0.14030    -22.676637  0.000  0.008  0.000  0.008
   0.17538    -22.676835  0.000  0.008  0.000  0.008
   0.21045    -22.676915  0.000  0.008  0.000  0.008
   0.21045    -22.676915  0.000  0.008  0.000  0.008
   0.25095    -22.676964  0.000  0.008  0.000  0.008
   0.29145    -22.677097  0.000  0.008  0.000  0.008
   0.33196    -22.677211  0.000  0.008  0.000  0.008
   0.33196    -22.677211  0.000  0.008  0.000  0.008
   0.36667    -22.677264  0.000  0.008  0.000  0.008
