#K-Path          Energy     s      p      d    tot
# NKPTS & NBANDS:  19 656
# Band-Index    1
   0.00000    -26.411050  0.004  0.001  0.000  0.005
   0.03508    -26.411044  0.004  0.001  0.000  0.005
   0.07015    -26.411043  0.004  0.001  0.000  0.005
   0.10523    -26.411041  0.004  0.001  0.000  0.005
   0.14030    -26.411036  0.004  0.001  0.000  0.005
   0.17538    -26.411033  0.004  0.001  0.000  0.005
   0.21045    -26.411040  0.004  0.001  0.000  0.005
   0.21045    -26.411040  0.004  0.001  0.000  0.005
   0.25095    -26.411032  0.004  0.001  0.000  0.005
   0.29145    -26.411034  0.004  0.001  0.000  0.005
   0.33196    -26.411035  0.004  0.001  0.000  0.005
   0.33196    -26.411035  0.004  0.001  0.000  0.005
   0.36667    -26.411033  0.004  0.001  0.000  0.005
   0.40139    -26.411037  0.004  0.001  0.000  0.005
   0.43610    -26.411037  0.004  0.001  0.000  0.005
   0.47082    -26.411040  0.004  0.001  0.000  0.005
   0.50553    -26.411043  0.004  0.001  0.000  0.005
   0.54025    -26.411044  0.004  0.001  0.000  0.005
   0.57496    -26.411050  0.004  0.001  0.000  0.005
 
# Band-Index    2
   0.57496    -26.090901  0.000  0.000  0.000  0.000
   0.54025    -26.090893  0.000  0.000  0.000  0.000
   0.50553    -26.090894  0.000  0.000  0.000  0.000
   0.47082    -26.090891  0.000  0.000  0.000  0.000
   0.43610    -26.090883  0.000  0.000  0.000  0.000
   0.40139    -26.090888  0.000  0.000  0.000  0.000
   0.36667    -26.090884  0.000  0.000  0.000  0.000
   0.33196    -26.090886  0.000  0.000  0.000  0.000
   0.33196    -26.090886  0.000  0.000  0.000  0.000
   0.29145    -26.090886  0.000  0.000  0.000  0.000
   0.25095    -26.090883  0.000  0.000  0.000  0.000
   0.21045    -26.090892  0.000  0.000  0.000  0.000
   0.21045    -26.090892  0.000  0.000  0.000  0.000
   0.17538    -26.090884  0.000  0.000  0.000  0.000
   0.14030    -26.090887  0.000  0.000  0.000  0.000
   0.10523    -26.090892  0.000  0.000  0.000  0.000
   0.07015    -26.090894  0.000  0.000  0.000  0.000
   0.03508    -26.090896  0.000  0.000  0.000  0.000
   0.00000    -26.090901  0.000  0.000  0.000  0.000
 
# Band-Index    3
   0.00000    -24.288444  0.002  0.000  0.000  0.002
   0.03508    -24.288442  0.002  0.000  0.000  0.002
   0.07015    -24.288438  0.002  0.000  0.000  0.002
   0.10523    -24.288438  0.002  0.000  0.000  0.002
   0.14030    -24.288435  0.002  0.000  0.000  0.002
   0.17538    -24.288430  0.002  0.000  0.000  0.002
   0.21045    -24.288437  0.002  0.000  0.000  0.002
   0.21045    -24.288437  0.002  0.000  0.000  0.002
   0.25095    -24.288423  0.002  0.000  0.000  0.002
   0.29145    -24.288421  0.002  0.000  0.000  0.002
   0.33196    -24.288412  0.002  0.000  0.000  0.002
   0.33196    -24.288412  0.002  0.000  0.000  0.002
   0.36667    -24.288414  0.002  0.000  0.000  0.002
   0.40139    -24.288423  0.002  0.000  0.000  0.002
   0.43610    -24.288422  0.002  0.000  0.000  0.002
   0.47082    -24.288430  0.002  0.000  0.000  0.002
   0.50553    -24.288435  0.002  0.000  0.000  0.002
   0.54025    -24.288438  0.002  0.000  0.000  0.002
   0.57496    -24.288444  0.002  0.000  0.000  0.002
 
# Band-Index    4
   0.57496    -24.110803  0.000  0.000  0.000  0.000
   0.54025    -24.110800  0.000  0.000  0.000  0.000
   0.50553    -24.110796  0.000  0.000  0.000  0.000
   0.47082    -24.110794  0.000  0.000  0.000  0.000
   0.43610    -24.110790  0.000  0.000  0.000  0.000
   0.40139    -24.110798  0.000  0.000  0.000  0.000
   0.36667    -24.110798  0.000  0.000  0.000  0.000
   0.33196    -24.110808  0.000  0.000  0.000  0.000
   0.33196    -24.110808  0.000  0.000  0.000  0.000
   0.29145    -24.110799  0.000  0.000  0.000  0.000
   0.25095    -24.110784  0.000  0.000  0.000  0.000
   0.21045    -24.110792  0.000  0.000  0.000  0.000
   0.21045    -24.110792  0.000  0.000  0.000  0.000
   0.17538    -24.110785  0.000  0.000  0.000  0.000
   0.14030    -24.110790  0.000  0.000  0.000  0.000
   0.10523    -24.110794  0.000  0.000  0.000  0.000
   0.07015    -24.110795  0.000  0.000  0.000  0.000
   0.03508    -24.110800  0.000  0.000  0.000  0.000
   0.00000    -24.110803  0.000  0.000  0.000  0.000
 
# Band-Index    5
   0.00000    -23.470862  0.361  0.015  0.000  0.375
   0.03508    -23.470852  0.361  0.015  0.000  0.375
   0.07015    -23.470832  0.361  0.015  0.000  0.375
   0.10523    -23.470807  0.361  0.015  0.000  0.375
   0.14030    -23.470781  0.361  0.015  0.000  0.375
   0.17538    -23.470762  0.361  0.015  0.000  0.375
   0.21045    -23.470762  0.361  0.015  0.000  0.375
   0.21045    -23.470762  0.361  0.015  0.000  0.375
   0.25095    -23.470763  0.361  0.015  0.000  0.375
   0.29145    -23.470782  0.361  0.015  0.000  0.375
   0.33196    -23.470807  0.361  0.015  0.000  0.375
   0.33196    -23.470807  0.361  0.015  0.000  0.375
   0.36667    -23.470808  0.361  0.015  0.000  0.375
   0.40139    -23.470818  0.361  0.015  0.000  0.375
   0.43610    -23.470822  0.361  0.015  0.000  0.375
   0.47082    -23.470834  0.361  0.015  0.000  0.375
   0.50553    -23.470846  0.361  0.015  0.000  0.375
   0.54025    -23.470856  0.361  0.015  0.000  0.375
   0.57496    -23.470862  0.361  0.015  0.000  0.375
 
# Band-Index    6
   0.57496    -23.132513  0.348  0.024  0.000  0.374
   0.54025    -23.132517  0.348  0.024  0.000  0.374
   0.50553    -23.132542  0.348  0.024  0.000  0.374
   0.47082    -23.132583  0.348  0.024  0.000  0.373
   0.43610    -23.132631  0.348  0.024  0.000  0.373
   0.40139    -23.132687  0.348  0.024  0.000  0.373
   0.36667    -23.132736  0.348  0.024  0.000  0.372
