     #Energy           s           p           d       tot  
    -1.59159 -3985.25000 -7974.01000     0.00000-11959.26000
    -1.58159    -0.00038    -0.11888     0.00000    -0.11927
    -1.57159    -0.00044    -0.11295     0.00000    -0.11339
    -1.56159    -0.00066    -0.15268     0.00000    -0.15334
    -1.55159    -0.00107    -0.23934     0.00000    -0.24041
    -1.54159    -0.00169    -0.37325     0.00000    -0.37494
    -1.53159    -0.00249    -0.54873     0.00000    -0.55122
    -1.52159    -0.00340    -0.75002     0.00000    -0.75342
    -1.51159    -0.00430    -0.95145     0.00000    -0.95576
    -1.50159    -0.00506    -1.12252     0.00000    -1.12758
    -1.49159    -0.00554    -1.23910     0.00000    -1.24464
    -1.48159    -0.00570    -1.29300     0.00000    -1.29870
    -1.47159    -0.00557    -1.29778     0.00000    -1.30335
    -1.46159    -0.00530    -1.28382     0.00000    -1.28912
    -1.45159    -0.00503    -1.28632     0.00000    -1.29135
    -1.44159    -0.00487    -1.33016     0.00000    -1.33504
    -1.43159    -0.00488    -1.42039     0.00000    -1.42527
    -1.42159    -0.00501    -1.54180     0.00000    -1.54681
    -1.41159    -0.00516    -1.66857     0.00000    -1.67373
    -1.40159    -0.00524    -1.77585     0.00000    -1.78108
    -1.39159    -0.00519    -1.84811     0.00000    -1.85330
    -1.38159    -0.00500    -1.87920     0.00000    -1.88420
    -1.37159    -0.00470    -1.86651     0.00000    -1.87121
    -1.36159    -0.00431    -1.80618     0.00000    -1.81049
    -1.35159    -0.00385    -1.69210     0.00000    -1.69595
    -1.34159    -0.00333    -1.52207     0.00000    -1.52540
    -1.33159    -0.00277    -1.30388     0.00000    -1.30665
    -1.32159    -0.00221    -1.05857     0.00000    -1.06078
    -1.31159    -0.00170    -0.81685     0.00000    -0.81856
    -1.30159    -0.00131    -0.61233     0.00000    -0.61364
    -1.29159    -0.00110    -0.47376     0.00000    -0.47486
    -1.28159    -0.00111    -0.42091     0.00000    -0.42203
    -1.27159    -0.00140    -0.46305     0.00000    -0.46445
    -1.26159    -0.00197    -0.59930     0.00000    -0.60127
    -1.25159    -0.00283    -0.81910     0.00000    -0.82193
    -1.24159    -0.00397    -1.10317     0.00000    -1.10713
    -1.23159    -0.00533    -1.42664     0.00000    -1.43197
    -1.22159    -0.00687    -1.76390     0.00000    -1.77077
    -1.21159    -0.00853    -2.09444     0.00000    -2.10297
    -1.20159    -0.01027    -2.40620     0.00000    -2.41647
    -1.19159    -0.01201    -2.69400     0.00000    -2.70601
    -1.18159    -0.01365    -2.95519     0.00000    -2.96883
    -1.17159    -0.01508    -3.18471     0.00000    -3.19979
    -1.16159    -0.01618    -3.37210     0.00000    -3.38828
    -1.15159    -0.01683    -3.50251     0.00000    -3.51934
    -1.14159    -0.01694    -3.55971     0.00000    -3.57665
    -1.13159    -0.01648    -3.52916     0.00000    -3.54564
    -1.12159    -0.01547    -3.40041     0.00000    -3.41588
    -1.11159    -0.01397    -3.17109     0.00000    -3.18506
    -1.10159    -0.01211    -2.84992     0.00000    -2.86203
    -1.09059    -0.01006    -2.46009     0.00000    -2.47015
    -1.08059    -0.00802    -2.04014     0.00000    -2.04817
    -1.07059    -0.00620    -1.63908     0.00000    -1.64528
    -1.06059    -0.00476    -1.30636     0.00000    -1.31112
    -1.05059    -0.00382    -1.08039     0.00000    -1.08421
    -1.04059    -0.00339    -0.97834     0.00000    -0.98173
    -1.03059    -0.00340    -0.99068     0.00000    -0.99408
    -1.02059    -0.00372    -1.08255     0.00000    -1.08627
    -1.01059    -0.00414    -1.20205     0.00000    -1.20619
    -1.00059    -0.00447    -1.29424     0.00000    -1.29871
    -0.99059    -0.00455    -1.31610     0.00000    -1.32064
    -0.98059    -0.00432    -1.24838     0.00000    -1.25270
    -0.97059    -0.00380    -1.09823     0.00000    -1.10203
    -0.96059    -0.00309    -0.89381     0.00000    -0.89690
    -0.95059    -0.00233    -0.67232     0.00000    -0.67465
