     #Energy           s           p           d       tot  
    -1.59159  3985.26000  7972.46000     0.00000 11957.72000
    -1.58159     0.00176     0.53335     0.00000     0.53511
    -1.57159     0.00199     0.55009     0.00000     0.55208
    -1.56159     0.00249     0.64687     0.00000     0.64936
    -1.55159     0.00319     0.80071     0.00000     0.80390
    -1.54159     0.00393     0.97434     0.00000     0.97827
    -1.53159     0.00455     1.12352     0.00000     1.12808
    -1.52159     0.00491     1.20929     0.00000     1.21420
    -1.51159     0.00491     1.20870     0.00000     1.21361
    -1.50159     0.00455     1.12275     0.00000     1.12730
    -1.49159     0.00394     0.97591     0.00000     0.97985
    -1.48159     0.00322     0.80913     0.00000     0.81235
    -1.47159     0.00258     0.66874     0.00000     0.67132
    -1.46159     0.00217     0.59476     0.00000     0.59693
    -1.45159     0.00207     0.61368     0.00000     0.61575
    -1.44159     0.00231     0.73420     0.00000     0.73651
    -1.43159     0.00284     0.94668     0.00000     0.94951
    -1.42159     0.00355     1.22485     0.00000     1.22840
    -1.41159     0.00432     1.53009     0.00000     1.53442
    -1.40159     0.00500     1.81814     0.00000     1.82314
    -1.39159     0.00547     2.04638     0.00000     2.05185
    -1.38159     0.00564     2.18119     0.00000     2.18684
    -1.37159     0.00551     2.20303     0.00000     2.20854
    -1.36159     0.00509     2.10809     0.00000     2.11318
    -1.35159     0.00446     1.90933     0.00000     1.91380
    -1.34159     0.00370     1.63349     0.00000     1.63720
    -1.33159     0.00291     1.31729     0.00000     1.32019
    -1.32159     0.00216     1.00023     0.00000     1.00239
    -1.31159     0.00153     0.71774     0.00000     0.71927
    -1.30159     0.00107     0.49602     0.00000     0.49709
    -1.29159     0.00080     0.35040     0.00000     0.35120
    -1.28159     0.00074     0.28710     0.00000     0.28784
    -1.27159     0.00090     0.30632     0.00000     0.30723
    -1.26159     0.00129     0.40405     0.00000     0.40534
    -1.25159     0.00189     0.57116     0.00000     0.57304
    -1.24159     0.00267     0.79151     0.00000     0.79418
    -1.23159     0.00359     1.04150     0.00000     1.04509
    -1.22159     0.00457     1.29398     0.00000     1.29855
    -1.21159     0.00558     1.52587     0.00000     1.53145
    -1.20159     0.00659     1.72641     0.00000     1.73300
    -1.19159     0.00763     1.90109     0.00000     1.90872
    -1.18159     0.00874     2.06790     0.00000     2.07664
    -1.17159     0.00993     2.24738     0.00000     2.25731
    -1.16159     0.01117     2.45313     0.00000     2.46430
    -1.15159     0.01240     2.68481     0.00000     2.69721
    -1.14159     0.01351     2.92919     0.00000     2.94269
    -1.13159     0.01440     3.16265     0.00000     3.17705
    -1.12159     0.01498     3.35705     0.00000     3.37203
    -1.11159     0.01518     3.48027     0.00000     3.49545
    -1.10159     0.01494     3.50084     0.00000     3.51578
    -1.09059     0.01420     3.39489     0.00000     3.40909
    -1.08059     0.01297     3.15602     0.00000     3.16898
    -1.07059     0.01134     2.80490     0.00000     2.81624
    -1.06059     0.00951     2.39050     0.00000     2.40001
    -1.05059     0.00773     1.97987     0.00000     1.98760
    -1.04059     0.00624     1.63942     0.00000     1.64566
    -1.03059     0.00521     1.41349     0.00000     1.41870
    -1.02059     0.00466     1.31149     0.00000     1.31615
    -1.01059     0.00451     1.30620     0.00000     1.31070
    -1.00059     0.00455     1.34528     0.00000     1.34983
    -0.99059     0.00459     1.37038     0.00000     1.37496
    -0.98059     0.00445     1.33676     0.00000     1.34121
    -0.97059     0.00407     1.22578     0.00000     1.22985
    -0.96059     0.00347     1.04672     0.00000     1.05019
    -0.95059     0.00275     0.82864     0.00000     0.83138
    -0.94059     0.00201     0.60687     0.00000     0.60889
    -0.93059     0.00136     0.41077     0.00000     0.41213
    -0.92059     0.00085     0.25690     0.00000     0.25775
    -0.91059     0.00049     0.14854     0.00000     0.14903
    -0.90059     0.00027     0.07978     0.00000     0.08005
    -0.89059     0.00014     0.04089     0.00000     0.04103
    -0.88059     0.00008     0.02283     0.00000     0.02291
    -0.87059     0.00008     0.01996     0.00000     0.02004
    -0.86059     0.00014     0.03118     0.00000     0.03132
    -0.85059     0.00027     0.06012     0.00000     0.06039
    -0.84059     0.00051     0.11427     0.00000     0.11479
    -0.83059     0.00091     0.20298     0.00000     0.20390
    -0.82059     0.00150     0.33364     0.00000     0.33514
    -0.81059     0.00228     0.50661     0.00000     0.50889
    -0.80059     0.00320     0.71041     0.00000     0.71360
