     #Energy           s           p           d       tot  
    -1.59159   -24.10000   -31.55000  -411.30000  -466.95000
    -1.58159    -0.00000    -0.00054    -0.00247    -0.00301
    -1.57159    -0.00000    -0.00058    -0.00306    -0.00364
    -1.56159    -0.00000    -0.00084    -0.00484    -0.00569
    -1.55159    -0.00001    -0.00136    -0.00800    -0.00937
    -1.54159    -0.00001    -0.00213    -0.01265    -0.01479
    -1.53159    -0.00001    -0.00313    -0.01863    -0.02178
    -1.52159    -0.00002    -0.00427    -0.02541    -0.02970
    -1.51159    -0.00002    -0.00538    -0.03204    -0.03744
    -1.50159    -0.00002    -0.00628    -0.03737    -0.04367
    -1.49159    -0.00003    -0.00678    -0.04036    -0.04716
    -1.48159    -0.00003    -0.00679    -0.04046    -0.04728
    -1.47159    -0.00003    -0.00634    -0.03783    -0.04419
    -1.46159    -0.00003    -0.00555    -0.03328    -0.03886
    -1.45159    -0.00003    -0.00463    -0.02797    -0.03262
    -1.44159    -0.00002    -0.00374    -0.02303    -0.02680
    -1.43159    -0.00002    -0.00301    -0.01923    -0.02227
    -1.42159    -0.00002    -0.00248    -0.01688    -0.01938
    -1.41159    -0.00002    -0.00210    -0.01587    -0.01800
    -1.40159    -0.00002    -0.00182    -0.01589    -0.01774
    -1.39159    -0.00002    -0.00159    -0.01654    -0.01815
    -1.38159    -0.00002    -0.00136    -0.01745    -0.01883
    -1.37159    -0.00002    -0.00113    -0.01826    -0.01941
    -1.36159    -0.00001    -0.00091    -0.01862    -0.01954
    -1.35159    -0.00001    -0.00071    -0.01824    -0.01896
    -1.34159    -0.00001    -0.00055    -0.01698    -0.01753
    -1.33159    -0.00001    -0.00041    -0.01490    -0.01531
    -1.32159    -0.00000    -0.00030    -0.01226    -0.01256
    -1.31159    -0.00000    -0.00021    -0.00946    -0.00967
    -1.30159    -0.00000    -0.00016    -0.00691    -0.00707
    -1.29159    -0.00000    -0.00016    -0.00493    -0.00509
    -1.28159    -0.00000    -0.00022    -0.00373    -0.00394
    -1.27159    -0.00000    -0.00039    -0.00335    -0.00374
    -1.26159    -0.00000    -0.00078    -0.00377    -0.00456
    -1.25159    -0.00000    -0.00153    -0.00491    -0.00644
    -1.24159    -0.00001    -0.00285    -0.00666    -0.00952
    -1.23159    -0.00001    -0.00499    -0.00892    -0.01392
    -1.22159    -0.00002    -0.00820    -0.01157    -0.01979
    -1.21159    -0.00002    -0.01265    -0.01449    -0.02716
    -1.20159    -0.00003    -0.01831    -0.01754    -0.03588
    -1.19159    -0.00005    -0.02486    -0.02051    -0.04542
    -1.18159    -0.00006    -0.03174    -0.02318    -0.05498
    -1.17159    -0.00007    -0.03817    -0.02524    -0.06348
    -1.16159    -0.00008    -0.04335    -0.02646    -0.06989
    -1.15159    -0.00008    -0.04660    -0.02668    -0.07336
    -1.14159    -0.00008    -0.04752    -0.02589    -0.07349
    -1.13159    -0.00008    -0.04607    -0.02422    -0.07037
    -1.12159    -0.00008    -0.04251    -0.02188    -0.06447
    -1.11159    -0.00007    -0.03737    -0.01912    -0.05656
    -1.10159    -0.00006    -0.03128    -0.01616    -0.04750
    -1.09059    -0.00005    -0.02492    -0.01319    -0.03816
    -1.08059    -0.00004    -0.01888    -0.01041    -0.02933
    -1.07059    -0.00003    -0.01360    -0.00796    -0.02159
    -1.06059    -0.00002    -0.00934    -0.00600    -0.01536
    -1.05059    -0.00001    -0.00619    -0.00461    -0.01082
    -1.04059    -0.00001    -0.00407    -0.00380    -0.00788
    -1.03059    -0.00001    -0.00279    -0.00352    -0.00631
    -1.02059    -0.00000    -0.00211    -0.00360    -0.00571
    -1.01059    -0.00000    -0.00181    -0.00385    -0.00567
    -1.00059    -0.00000    -0.00169    -0.00407    -0.00577
    -0.99059    -0.00000    -0.00161    -0.00411    -0.00572
    -0.98059    -0.00000    -0.00148    -0.00388    -0.00537
    -0.97059    -0.00000    -0.00129    -0.00341    -0.00470
    -0.96059    -0.00000    -0.00104    -0.00277    -0.00382
    -0.95059    -0.00000    -0.00078    -0.00209    -0.00287
    -0.94059    -0.00000    -0.00054    -0.00145    -0.00199
