     #Energy           s           p           d       tot  
    -1.59159    23.89000    31.10000   314.40000   369.39000
    -1.58159     0.00003     0.00234     0.02152     0.02389
    -1.57159     0.00004     0.00259     0.01756     0.02018
    -1.56159     0.00006     0.00319     0.01664     0.01988
    -1.55159     0.00008     0.00404     0.01800     0.02212
    -1.54159     0.00010     0.00497     0.02054     0.02560
    -1.53159     0.00011     0.00575     0.02306     0.02892
    -1.52159     0.00012     0.00619     0.02457     0.03088
    -1.51159     0.00012     0.00618     0.02446     0.03076
    -1.50159     0.00011     0.00570     0.02268     0.02849
    -1.49159     0.00009     0.00488     0.01968     0.02465
    -1.48159     0.00008     0.00387     0.01628     0.02023
    -1.47159     0.00006     0.00288     0.01339     0.01633
    -1.46159     0.00004     0.00206     0.01178     0.01388
    -1.45159     0.00003     0.00148     0.01198     0.01349
    -1.44159     0.00002     0.00117     0.01411     0.01530
    -1.43159     0.00002     0.00106     0.01795     0.01903
    -1.42159     0.00002     0.00110     0.02293     0.02406
    -1.41159     0.00003     0.00120     0.02827     0.02950
    -1.40159     0.00004     0.00130     0.03308     0.03441
    -1.39159     0.00004     0.00133     0.03660     0.03798
    -1.38159     0.00005     0.00129     0.03829     0.03963
    -1.37159     0.00005     0.00117     0.03791     0.03913
    -1.36159     0.00005     0.00100     0.03556     0.03661
    -1.35159     0.00005     0.00080     0.03160     0.03245
    -1.34159     0.00005     0.00060     0.02657     0.02722
    -1.33159     0.00004     0.00043     0.02110     0.02157
    -1.32159     0.00003     0.00029     0.01582     0.01614
    -1.31159     0.00002     0.00019     0.01123     0.01144
    -1.30159     0.00002     0.00012     0.00769     0.00782
    -1.29159     0.00001     0.00008     0.00539     0.00547
    -1.28159     0.00001     0.00007     0.00437     0.00445
    -1.27159     0.00000     0.00009     0.00464     0.00473
    -1.26159     0.00000     0.00017     0.00609     0.00627
    -1.25159     0.00000     0.00034     0.00860     0.00895
    -1.24159     0.00001     0.00069     0.01191     0.01261
    -1.23159     0.00001     0.00134     0.01566     0.01701
    -1.22159     0.00001     0.00248     0.01941     0.02190
    -1.21159     0.00001     0.00432     0.02282     0.02716
    -1.20159     0.00001     0.00709     0.02568     0.03279
    -1.19159     0.00002     0.01092     0.02805     0.03899
    -1.18159     0.00002     0.01579     0.03014     0.04595
    -1.17159     0.00002     0.02145     0.03223     0.05370
    -1.16159     0.00002     0.02745     0.03445     0.06192
    -1.15159     0.00003     0.03320     0.03678     0.07001
    -1.14159     0.00003     0.03809     0.03902     0.07714
    -1.13159     0.00003     0.04165     0.04087     0.08255
    -1.12159     0.00002     0.04355     0.04205     0.08562
    -1.11159     0.00002     0.04368     0.04228     0.08598
    -1.10159     0.00002     0.04207     0.04134     0.08343
    -1.09059     0.00002     0.03887     0.03906     0.07795
    -1.08059     0.00001     0.03436     0.03545     0.06982
    -1.07059     0.00001     0.02893     0.03074     0.05968
    -1.06059     0.00001     0.02310     0.02536     0.04847
    -1.05059     0.00001     0.01743     0.01995     0.03739
    -1.04059     0.00001     0.01240     0.01511     0.02752
    -1.03059     0.00001     0.00834     0.01129     0.01964
    -1.02059     0.00001     0.00535     0.00863     0.01399
    -1.01059     0.00001     0.00335     0.00702     0.01038
    -1.00059     0.00001     0.00212     0.00616     0.00828
    -0.99059     0.00001     0.00141     0.00567     0.00709
    -0.98059     0.00001     0.00102     0.00523     0.00625
    -0.97059     0.00001     0.00077     0.00467     0.00545
    -0.96059     0.00001     0.00060     0.00393     0.00454
    -0.95059     0.00000     0.00045     0.00310     0.00355
    -0.94059     0.00000     0.00032     0.00226     0.00259
    -0.93059     0.00000     0.00022     0.00153     0.00175
    -0.92059     0.00000     0.00014     0.00096     0.00109
    -0.91059     0.00000     0.00008     0.00055     0.00063
    -0.90059     0.00000     0.00005     0.00030     0.00034
    -0.89059     0.00000     0.00003     0.00016     0.00019
    -0.88059     0.00000     0.00004     0.00010     0.00014
    -0.87059     0.00000     0.00007     0.00011     0.00018
    -0.86059     0.00000     0.00016     0.00019     0.00035
    -0.85059     0.00000     0.00032     0.00039     0.00071
    -0.84059     0.00001     0.00062     0.00074     0.00137
    -0.83059     0.00001     0.00111     0.00132     0.00244
    -0.82059     0.00002     0.00182     0.00217     0.00401
    -0.81059     0.00002     0.00276     0.00330     0.00608
    -0.80059     0.00003     0.00387     0.00462     0.00853
    -0.79059     0.00004     0.00502     0.00599     0.01105
    -0.78059     0.00005     0.00600     0.00716     0.01321
    -0.77059     0.00006     0.00662     0.00791     0.01459
    -0.76059     0.00006     0.00675     0.00807     0.01488
    -0.75059     0.00006     0.00636     0.00760     0.01401
    -0.74059     0.00005     0.00553     0.00661     0.01219
    -0.73059     0.00004     0.00444     0.00530     0.00979
    -0.72059     0.00003     0.00330     0.00394     0.00726
    -0.71059     0.00002     0.00226     0.00269     0.00497
    -0.70059     0.00001     0.00143     0.00170     0.00314
    -0.69059     0.00001     0.00083     0.00100     0.00184
    -0.68059     0.00000     0.00045     0.00054     0.00099
    -0.67059     0.00000     0.00022     0.00027     0.00049
    -0.66059     0.00000     0.00010     0.00012     0.00023
    -0.65059     0.00000     0.00004     0.00005     0.00010
    -0.64059     0.00000     0.00002     0.00002     0.00004
    -0.63059     0.00000     0.00001     0.00001     0.00001
    -0.62059     0.00000     0.00000     0.00000     0.00000
    -0.61059     0.00000     0.00000     0.00000     0.00000
    -0.60059     0.00000     0.00000     0.00000     0.00000
    -0.59059     0.00000     0.00000     0.00000     0.00000
    -0.58059     0.00000     0.00000     0.00000     0.00000
    -0.57059     0.00000     0.00000     0.00000     0.00000
    -0.56059     0.00000     0.00000     0.00000     0.00000
    -0.55059     0.00000     0.00000     0.00001     0.00001
    -0.54059     0.00000     0.00000     0.00002     0.00002
    -0.53059     0.00000     0.00000     0.00004     0.00004
    -0.52059     0.00000     0.00000     0.00010     0.00010
    -0.51059     0.00000     0.00001     0.00022     0.00023
    -0.50059     0.00000     0.00002     0.00045     0.00047
    -0.49059     0.00000     0.00004     0.00084     0.00088
    -0.48059     0.00000     0.00007     0.00146     0.00154
    -0.47059     0.00000     0.00011     0.00235     0.00247
    -0.46059     0.00001     0.00017     0.00348     0.00366
    -0.45059     0.00001     0.00023     0.00476     0.00501
    -0.44059     0.00001     0.00029     0.00602     0.00633
    -0.43059     0.00001     0.00034     0.00703     0.00739
    -0.42059     0.00001     0.00037     0.00759     0.00798
    -0.41059     0.00001     0.00037     0.00758     0.00796
    -0.40059     0.00001     0.00034     0.00703     0.00739
    -0.39059     0.00001     0.00029     0.00614     0.00644
    -0.38059     0.00001     0.00024     0.00520     0.00545
    -0.37059     0.00001     0.00019     0.00461     0.00480
    -0.36059     0.00000     0.00016     0.00476     0.00493
    -0.35059     0.00000     0.00016     0.00606     0.00622
    -0.34059     0.00000     0.00019     0.00880     0.00899
    -0.33059     0.00000     0.00027     0.01309     0.01336
    -0.32059     0.00000     0.00039     0.01875     0.01914
    -0.31059     0.00001     0.00054     0.02522     0.02576
    -0.30059     0.00001     0.00072     0.03156     0.03228
    -0.29059     0.00001     0.00092     0.03668     0.03761
    -0.28059     0.00001     0.00114     0.03966     0.04081
    -0.27059     0.00001     0.00138     0.04001     0.04141
    -0.26059     0.00002     0.00165     0.03785     0.03951
    -0.25059     0.00002     0.00192     0.03384     0.03578
    -0.24059     0.00002     0.00218     0.02888     0.03108
    -0.23059     0.00002     0.00237     0.02379     0.02618
    -0.22059     0.00002     0.00245     0.01912     0.02160
    -0.21059     0.00002     0.00239     0.01509     0.01751
    -0.20059     0.00002     0.00218     0.01168     0.01388
    -0.19059     0.00002     0.00185     0.00881     0.01068
    -0.18059     0.00001     0.00146     0.00640     0.00787
    -0.17059     0.00001     0.00106     0.00443     0.00551
    -0.16059     0.00001     0.00072     0.00289     0.00362
    -0.15059     0.00000     0.00045     0.00177     0.00222
    -0.14059     0.00000     0.00026     0.00101     0.00127
