     #Energy           s           p           d       tot  
    -1.59159   -61.95000   -11.85000     0.00000   -73.80000
    -1.58159    -0.00022    -0.00004     0.00000    -0.00026
    -1.57159    -0.00026    -0.00006     0.00000    -0.00031
    -1.56159    -0.00039    -0.00010     0.00000    -0.00049
    -1.55159    -0.00064    -0.00016     0.00000    -0.00080
    -1.54159    -0.00100    -0.00026     0.00000    -0.00127
    -1.53159    -0.00148    -0.00039     0.00000    -0.00186
    -1.52159    -0.00202    -0.00053     0.00000    -0.00254
    -1.51159    -0.00254    -0.00067     0.00000    -0.00320
    -1.50159    -0.00295    -0.00078     0.00000    -0.00374
    -1.49159    -0.00318    -0.00085     0.00000    -0.00403
    -1.48159    -0.00317    -0.00087     0.00000    -0.00404
    -1.47159    -0.00293    -0.00085     0.00000    -0.00377
    -1.46159    -0.00252    -0.00080     0.00000    -0.00331
    -1.45159    -0.00203    -0.00074     0.00000    -0.00277
    -1.44159    -0.00157    -0.00070     0.00000    -0.00227
    -1.43159    -0.00120    -0.00068     0.00000    -0.00188
    -1.42159    -0.00097    -0.00068     0.00000    -0.00164
    -1.41159    -0.00086    -0.00067     0.00000    -0.00154
    -1.40159    -0.00088    -0.00066     0.00000    -0.00154
    -1.39159    -0.00099    -0.00062     0.00000    -0.00161
    -1.38159    -0.00115    -0.00056     0.00000    -0.00171
    -1.37159    -0.00131    -0.00049     0.00000    -0.00180
    -1.36159    -0.00143    -0.00041     0.00000    -0.00184
    -1.35159    -0.00147    -0.00034     0.00000    -0.00181
    -1.34159    -0.00142    -0.00027     0.00000    -0.00169
    -1.33159    -0.00128    -0.00021     0.00000    -0.00149
    -1.32159    -0.00107    -0.00016     0.00000    -0.00123
    -1.31159    -0.00084    -0.00013     0.00000    -0.00097
    -1.30159    -0.00062    -0.00012     0.00000    -0.00074
    -1.29159    -0.00046    -0.00013     0.00000    -0.00059
    -1.28159    -0.00038    -0.00018     0.00000    -0.00055
    -1.27159    -0.00039    -0.00027     0.00000    -0.00066
    -1.26159    -0.00051    -0.00041     0.00000    -0.00092
    -1.25159    -0.00076    -0.00060     0.00000    -0.00136
    -1.24159    -0.00115    -0.00084     0.00000    -0.00199
    -1.23159    -0.00173    -0.00111     0.00000    -0.00284
    -1.22159    -0.00251    -0.00140     0.00000    -0.00392
    -1.21159    -0.00352    -0.00170     0.00000    -0.00522
    -1.20159    -0.00472    -0.00199     0.00000    -0.00671
    -1.19159    -0.00605    -0.00226     0.00000    -0.00831
    -1.18159    -0.00740    -0.00250     0.00000    -0.00990
    -1.17159    -0.00860    -0.00270     0.00000    -0.01130
    -1.16159    -0.00951    -0.00284     0.00000    -0.01235
    -1.15159    -0.01001    -0.00290     0.00000    -0.01292
    -1.14159    -0.01004    -0.00288     0.00000    -0.01292
    -1.13159    -0.00961    -0.00277     0.00000    -0.01238
    -1.12159    -0.00878    -0.00257     0.00000    -0.01135
    -1.11159    -0.00767    -0.00230     0.00000    -0.00997
    -1.10159    -0.00640    -0.00198     0.00000    -0.00838
    -1.09059    -0.00511    -0.00163     0.00000    -0.00674
    -1.08059    -0.00391    -0.00129     0.00000    -0.00520
    -1.07059    -0.00288    -0.00100     0.00000    -0.00388
    -1.06059    -0.00208    -0.00078     0.00000    -0.00285
    -1.05059    -0.00152    -0.00065     0.00000    -0.00217
    -1.04059    -0.00120    -0.00061     0.00000    -0.00181
    -1.03059    -0.00108    -0.00064     0.00000    -0.00172
    -1.02059    -0.00109    -0.00073     0.00000    -0.00181
    -1.01059    -0.00116    -0.00082     0.00000    -0.00198
    -1.00059    -0.00123    -0.00090     0.00000    -0.00212
    -0.99059    -0.00124    -0.00092     0.00000    -0.00215
    -0.98059    -0.00117    -0.00087     0.00000    -0.00204
    -0.97059    -0.00103    -0.00077     0.00000    -0.00180
    -0.96059    -0.00084    -0.00062     0.00000    -0.00146
    -0.95059    -0.00063    -0.00047     0.00000    -0.00110
    -0.94059    -0.00044    -0.00033     0.00000    -0.00076
    -0.93059    -0.00028    -0.00021     0.00000    -0.00049
    -0.92059    -0.00017    -0.00012     0.00000    -0.00029
    -0.91059    -0.00009    -0.00007     0.00000    -0.00016
    -0.90059    -0.00005    -0.00004     0.00000    -0.00009
    -0.89059    -0.00004    -0.00003     0.00000    -0.00007
    -0.88059    -0.00005    -0.00003     0.00000    -0.00008
    -0.87059    -0.00009    -0.00005     0.00000    -0.00014
    -0.86059    -0.00016    -0.00009     0.00000    -0.00025
    -0.85059    -0.00027    -0.00016     0.00000    -0.00043
    -0.84059    -0.00044    -0.00025     0.00000    -0.00070
    -0.83059    -0.00065    -0.00038     0.00000    -0.00103
    -0.82059    -0.00090    -0.00052     0.00000    -0.00142
    -0.81059    -0.00114    -0.00066     0.00000    -0.00179
    -0.80059    -0.00133    -0.00077     0.00000    -0.00210
    -0.79059    -0.00144    -0.00083     0.00000    -0.00227
    -0.78059    -0.00143    -0.00083     0.00000    -0.00226
    -0.77059    -0.00132    -0.00076     0.00000    -0.00208
    -0.76059    -0.00112    -0.00065     0.00000    -0.00177
    -0.75059    -0.00088    -0.00051     0.00000    -0.00139
    -0.74059    -0.00064    -0.00037     0.00000    -0.00101
    -0.73059    -0.00043    -0.00025     0.00000    -0.00068
    -0.72059    -0.00027    -0.00015     0.00000    -0.00042
    -0.71059    -0.00015    -0.00009     0.00000    -0.00024
    -0.70059    -0.00008    -0.00005     0.00000    -0.00013
    -0.69059    -0.00004    -0.00002     0.00000    -0.00006
    -0.68059    -0.00002    -0.00001     0.00000    -0.00003
    -0.67059    -0.00001    -0.00000     0.00000    -0.00001
    -0.66059    -0.00000    -0.00000     0.00000    -0.00000
    -0.65059    -0.00000    -0.00000     0.00000    -0.00000
    -0.64059    -0.00000    -0.00000     0.00000    -0.00000
    -0.63059    -0.00000    -0.00000     0.00000    -0.00000
    -0.62059    -0.00000    -0.00000     0.00000    -0.00000
    -0.61059    -0.00000    -0.00000     0.00000    -0.00000
    -0.60059    -0.00000    -0.00000     0.00000    -0.00000
    -0.59059    -0.00000    -0.00000     0.00000    -0.00000
    -0.58059    -0.00000    -0.00000     0.00000    -0.00000
    -0.57059    -0.00000    -0.00001     0.00000    -0.00001
    -0.56059    -0.00001    -0.00002     0.00000    -0.00003
    -0.55059    -0.00002    -0.00004     0.00000    -0.00006
    -0.54059    -0.00004    -0.00008     0.00000    -0.00012
    -0.53059    -0.00007    -0.00016     0.00000    -0.00023
    -0.52059    -0.00013    -0.00029     0.00000    -0.00041
    -0.51059    -0.00021    -0.00047     0.00000    -0.00068
    -0.50059    -0.00032    -0.00072     0.00000    -0.00104
    -0.49059    -0.00045    -0.00101     0.00000    -0.00146
    -0.48059    -0.00058    -0.00132     0.00000    -0.00190
    -0.47059    -0.00070    -0.00158     0.00000    -0.00228
    -0.46059    -0.00078    -0.00175     0.00000    -0.00252
    -0.45059    -0.00079    -0.00179     0.00000    -0.00258
    -0.44059    -0.00075    -0.00169     0.00000    -0.00245
    -0.43059    -0.00066    -0.00149     0.00000    -0.00215
    -0.42059    -0.00055    -0.00123     0.00000    -0.00177
    -0.41059    -0.00043    -0.00097     0.00000    -0.00140
    -0.40059    -0.00034    -0.00077     0.00000    -0.00112
    -0.39059    -0.00030    -0.00068     0.00000    -0.00098
    -0.38059    -0.00031    -0.00071     0.00000    -0.00101
    -0.37059    -0.00036    -0.00084     0.00000    -0.00120
    -0.36059    -0.00044    -0.00106     0.00000    -0.00150
    -0.35059    -0.00053    -0.00131     0.00000    -0.00184
    -0.34059    -0.00061    -0.00153     0.00000    -0.00214
    -0.33059    -0.00066    -0.00168     0.00000    -0.00234
    -0.32059    -0.00066    -0.00173     0.00000    -0.00238
    -0.31059    -0.00062    -0.00166     0.00000    -0.00228
    -0.30059    -0.00055    -0.00152     0.00000    -0.00206
    -0.29059    -0.00046    -0.00133     0.00000    -0.00179
    -0.28059    -0.00038    -0.00114     0.00000    -0.00152
    -0.27059    -0.00031    -0.00097     0.00000    -0.00128
    -0.26059    -0.00026    -0.00082     0.00000    -0.00108
    -0.25059    -0.00021    -0.00070     0.00000    -0.00091
    -0.24059    -0.00018    -0.00059     0.00000    -0.00076
    -0.23059    -0.00014    -0.00048     0.00000    -0.00062
    -0.22059    -0.00011    -0.00037     0.00000    -0.00048
    -0.21059    -0.00008    -0.00027     0.00000    -0.00035
    -0.20059    -0.00005    -0.00018     0.00000    -0.00024
    -0.19059    -0.00003    -0.00012     0.00000    -0.00015
    -0.18059    -0.00002    -0.00007     0.00000    -0.00009
    -0.17059    -0.00001    -0.00004     0.00000    -0.00005
    -0.16059    -0.00001    -0.00002     0.00000    -0.00002
    -0.15059    -0.00000    -0.00001     0.00000    -0.00001
    -0.14059    -0.00000    -0.00000     0.00000    -0.00000
    -0.13059    -0.00000    -0.00000     0.00000    -0.00000
    -0.12059    -0.00000    -0.00000     0.00000    -0.00000
    -0.11059    -0.00000    -0.00000     0.00000    -0.00000
    -0.10059    -0.00000    -0.00000     0.00000    -0.00000
    -0.08959    -0.00000    -0.00000     0.00000    -0.00000
    -0.07959    -0.00000    -0.00000     0.00000    -0.00000
    -0.06959    -0.00000    -0.00000     0.00000    -0.00000
    -0.05959    -0.00000    -0.00000     0.00000    -0.00000
    -0.04959    -0.00000    -0.00000     0.00000    -0.00000
    -0.03959    -0.00000    -0.00000     0.00000    -0.00000
    -0.02959    -0.00000    -0.00000     0.00000    -0.00000
    -0.01959    -0.00000    -0.00000     0.00000    -0.00000
    -0.00959    -0.00000    -0.00000     0.00000    -0.00000
     0.00041    -0.00000    -0.00000     0.00000    -0.00000
     0.01041    -0.00000    -0.00000     0.00000    -0.00000
     0.02041    -0.00000    -0.00000     0.00000    -0.00000
     0.03041    -0.00000    -0.00000     0.00000    -0.00000
     0.04041    -0.00000    -0.00000     0.00000    -0.00000
     0.05041     0.00000     0.00000     0.00000     0.00000
     0.06041     0.00000     0.00000     0.00000     0.00000
     0.07041     0.00000     0.00000     0.00000     0.00000
     0.08041     0.00000     0.00000     0.00000     0.00000
     0.09041     0.00000     0.00000     0.00000     0.00000
     0.10041     0.00000     0.00000     0.00000     0.00000
     0.11041     0.00000     0.00000     0.00000     0.00000
     0.12041     0.00000     0.00000     0.00000     0.00000
     0.13041    -0.00000    -0.00000     0.00000    -0.00000
     0.14041    -0.00000    -0.00000     0.00000    -0.00000
     0.15041    -0.00000    -0.00000     0.00000    -0.00000
     0.16041    -0.00000    -0.00000     0.00000    -0.00000
     0.17041    -0.00000    -0.00000     0.00000    -0.00000
     0.18041    -0.00000    -0.00000     0.00000    -0.00000
     0.19041    -0.00000    -0.00000     0.00000    -0.00000
     0.20041    -0.00000    -0.00000     0.00000    -0.00000
     0.21041    -0.00000    -0.00000     0.00000    -0.00000
