     #Energy           s           p           d       tot  
    -1.59159    61.97000    11.85100     0.00000    73.82100
    -1.58159     0.00095     0.00021     0.00000     0.00116
    -1.57159     0.00109     0.00028     0.00000     0.00137
    -1.56159     0.00138     0.00038     0.00000     0.00175
    -1.55159     0.00176     0.00050     0.00000     0.00226
    -1.54159     0.00218     0.00062     0.00000     0.00280
    -1.53159     0.00253     0.00073     0.00000     0.00325
    -1.52159     0.00272     0.00078     0.00000     0.00351
    -1.51159     0.00271     0.00078     0.00000     0.00350
    -1.50159     0.00250     0.00073     0.00000     0.00323
    -1.49159     0.00214     0.00063     0.00000     0.00276
    -1.48159     0.00169     0.00051     0.00000     0.00220
    -1.47159     0.00124     0.00040     0.00000     0.00164
    -1.46159     0.00086     0.00033     0.00000     0.00119
    -1.45159     0.00059     0.00029     0.00000     0.00088
    -1.44159     0.00043     0.00031     0.00000     0.00074
    -1.43159     0.00038     0.00036     0.00000     0.00075
    -1.42159     0.00043     0.00044     0.00000     0.00087
    -1.41159     0.00054     0.00052     0.00000     0.00106
    -1.40159     0.00071     0.00059     0.00000     0.00129
    -1.39159     0.00090     0.00062     0.00000     0.00152
    -1.38159     0.00108     0.00061     0.00000     0.00170
    -1.37159     0.00123     0.00057     0.00000     0.00180
    -1.36159     0.00130     0.00050     0.00000     0.00180
    -1.35159     0.00129     0.00041     0.00000     0.00170
    -1.34159     0.00118     0.00032     0.00000     0.00151
    -1.33159     0.00101     0.00024     0.00000     0.00125
    -1.32159     0.00080     0.00017     0.00000     0.00098
    -1.31159     0.00059     0.00012     0.00000     0.00072
    -1.30159     0.00041     0.00009     0.00000     0.00051
    -1.29159     0.00029     0.00009     0.00000     0.00038
    -1.28159     0.00022     0.00012     0.00000     0.00033
    -1.27159     0.00021     0.00018     0.00000     0.00038
    -1.26159     0.00026     0.00028     0.00000     0.00054
    -1.25159     0.00037     0.00042     0.00000     0.00079
    -1.24159     0.00054     0.00060     0.00000     0.00114
    -1.23159     0.00079     0.00080     0.00000     0.00159
    -1.22159     0.00113     0.00100     0.00000     0.00213
    -1.21159     0.00160     0.00119     0.00000     0.00279
    -1.20159     0.00221     0.00136     0.00000     0.00357
    -1.19159     0.00300     0.00152     0.00000     0.00452
    -1.18159     0.00396     0.00167     0.00000     0.00563
    -1.17159     0.00506     0.00182     0.00000     0.00688
    -1.16159     0.00620     0.00198     0.00000     0.00818
    -1.15159     0.00728     0.00213     0.00000     0.00941
    -1.14159     0.00817     0.00227     0.00000     0.01044
    -1.13159     0.00878     0.00238     0.00000     0.01116
    -1.12159     0.00905     0.00245     0.00000     0.01150
    -1.11159     0.00896     0.00246     0.00000     0.01143
    -1.10159     0.00854     0.00241     0.00000     0.01096
    -1.09059     0.00783     0.00229     0.00000     0.01011
    -1.08059     0.00688     0.00209     0.00000     0.00896
    -1.07059     0.00578     0.00183     0.00000     0.00761
    -1.06059     0.00465     0.00155     0.00000     0.00619
    -1.05059     0.00358     0.00128     0.00000     0.00485
    -1.04059     0.00267     0.00107     0.00000     0.00373
    -1.03059     0.00198     0.00094     0.00000     0.00292
    -1.02059     0.00152     0.00089     0.00000     0.00242
    -1.01059     0.00126     0.00091     0.00000     0.00217
    -1.00059     0.00113     0.00095     0.00000     0.00209
    -0.99059     0.00106     0.00098     0.00000     0.00204
    -0.98059     0.00099     0.00096     0.00000     0.00195
    -0.97059     0.00089     0.00088     0.00000     0.00177
