     #Energy           s           p           d       tot  
    -1.59159  -246.98000  -524.90000     0.00000  -771.88000
    -1.58159    -0.00001    -0.01265     0.00000    -0.01266
    -1.57159    -0.00001    -0.01336     0.00000    -0.01337
    -1.56159    -0.00002    -0.01938     0.00000    -0.01940
    -1.55159    -0.00003    -0.03116     0.00000    -0.03119
    -1.54159    -0.00005    -0.04888     0.00000    -0.04893
    -1.53159    -0.00007    -0.07187     0.00000    -0.07194
    -1.52159    -0.00009    -0.09799     0.00000    -0.09808
    -1.51159    -0.00012    -0.12357     0.00000    -0.12369
    -1.50159    -0.00013    -0.14417     0.00000    -0.14430
    -1.49159    -0.00014    -0.15582     0.00000    -0.15596
    -1.48159    -0.00014    -0.15643     0.00000    -0.15658
    -1.47159    -0.00013    -0.14664     0.00000    -0.14678
    -1.46159    -0.00011    -0.12956     0.00000    -0.12968
    -1.45159    -0.00009    -0.10962     0.00000    -0.10971
    -1.44159    -0.00007    -0.09096     0.00000    -0.09102
    -1.43159    -0.00005    -0.07630     0.00000    -0.07635
    -1.42159    -0.00004    -0.06645     0.00000    -0.06649
    -1.41159    -0.00003    -0.06067     0.00000    -0.06069
    -1.40159    -0.00002    -0.05751     0.00000    -0.05753
    -1.39159    -0.00002    -0.05557     0.00000    -0.05559
    -1.38159    -0.00002    -0.05386     0.00000    -0.05388
    -1.37159    -0.00002    -0.05176     0.00000    -0.05178
    -1.36159    -0.00002    -0.04890     0.00000    -0.04891
    -1.35159    -0.00001    -0.04500     0.00000    -0.04501
    -1.34159    -0.00001    -0.03993     0.00000    -0.03995
    -1.33159    -0.00001    -0.03388     0.00000    -0.03389
    -1.32159    -0.00001    -0.02731     0.00000    -0.02732
    -1.31159    -0.00001    -0.02098     0.00000    -0.02099
    -1.30159    -0.00001    -0.01572     0.00000    -0.01572
    -1.29159    -0.00001    -0.01234     0.00000    -0.01234
    -1.28159    -0.00001    -0.01160     0.00000    -0.01160
    -1.27159    -0.00001    -0.01431     0.00000    -0.01432
    -1.26159    -0.00001    -0.02156     0.00000    -0.02157
    -1.25159    -0.00002    -0.03493     0.00000    -0.03495
    -1.24159    -0.00003    -0.05656     0.00000    -0.05658
    -1.23159    -0.00004    -0.08904     0.00000    -0.08908
    -1.22159    -0.00005    -0.13490     0.00000    -0.13495
    -1.21159    -0.00007    -0.19558     0.00000    -0.19565
    -1.20159    -0.00010    -0.27033     0.00000    -0.27043
    -1.19159    -0.00012    -0.35530     0.00000    -0.35542
    -1.18159    -0.00015    -0.44326     0.00000    -0.44341
    -1.17159    -0.00018    -0.52472     0.00000    -0.52490
    -1.16159    -0.00020    -0.58998     0.00000    -0.59018
    -1.15159    -0.00021    -0.63065     0.00000    -0.63086
    -1.14159    -0.00022    -0.64232     0.00000    -0.64254
    -1.13159    -0.00021    -0.62423     0.00000    -0.62444
    -1.12159    -0.00020    -0.57987     0.00000    -0.58007
    -1.11159    -0.00018    -0.51490     0.00000    -0.51508
    -1.10159    -0.00016    -0.43714     0.00000    -0.43730
    -1.09059    -0.00013    -0.35420     0.00000    -0.35433
    -1.08059    -0.00010    -0.27384     0.00000    -0.27394
    -1.07059    -0.00008    -0.20200     0.00000    -0.20208
    -1.06059    -0.00007    -0.14297     0.00000    -0.14304
    -1.05059    -0.00006    -0.09866     0.00000    -0.09872
    -1.04059    -0.00006    -0.06877     0.00000    -0.06883
    -1.03059    -0.00007    -0.05122     0.00000    -0.05129
    -1.02059    -0.00008    -0.04276     0.00000    -0.04284
    -1.01059    -0.00009    -0.03980     0.00000    -0.03989
    -1.00059    -0.00010    -0.03904     0.00000    -0.03913
    -0.99059    -0.00010    -0.03801     0.00000    -0.03811
    -0.98059    -0.00009    -0.03537     0.00000    -0.03547
    -0.97059    -0.00008    -0.03086     0.00000    -0.03094
    -0.96059    -0.00007    -0.02503     0.00000    -0.02509
    -0.95059    -0.00005    -0.01880     0.00000    -0.01885
    -0.94059    -0.00003    -0.01306     0.00000    -0.01309
    -0.93059    -0.00002    -0.00839     0.00000    -0.00842
    -0.92059    -0.00001    -0.00502     0.00000    -0.00503
    -0.91059    -0.00001    -0.00287     0.00000    -0.00288
    -0.90059    -0.00000    -0.00178     0.00000    -0.00178
    -0.89059    -0.00000    -0.00161     0.00000    -0.00161
    -0.88059    -0.00000    -0.00241     0.00000    -0.00241
    -0.87059    -0.00000    -0.00447     0.00000    -0.00447
    -0.86059    -0.00000    -0.00826     0.00000    -0.00826
    -0.85059    -0.00000    -0.01433     0.00000    -0.01433
    -0.84059    -0.00000    -0.02303     0.00000    -0.02304
    -0.83059    -0.00001    -0.03421     0.00000    -0.03422
    -0.82059    -0.00001    -0.04694     0.00000    -0.04695
    -0.81059    -0.00001    -0.05944     0.00000    -0.05946
    -0.80059    -0.00001    -0.06955     0.00000    -0.06956
    -0.79059    -0.00002    -0.07513     0.00000    -0.07515
    -0.78059    -0.00002    -0.07494     0.00000    -0.07496
    -0.77059    -0.00001    -0.06904     0.00000    -0.06905
    -0.76059    -0.00001    -0.05873     0.00000    -0.05874
    -0.75059    -0.00001    -0.04615     0.00000    -0.04616
    -0.74059    -0.00001    -0.03348     0.00000    -0.03348
    -0.73059    -0.00000    -0.02243     0.00000    -0.02243
    -0.72059    -0.00000    -0.01388     0.00000    -0.01388
    -0.71059    -0.00000    -0.00793     0.00000    -0.00793
    -0.70059    -0.00000    -0.00418     0.00000    -0.00418
    -0.69059    -0.00000    -0.00204     0.00000    -0.00204
    -0.68059    -0.00000    -0.00092     0.00000    -0.00092
    -0.67059    -0.00000    -0.00038     0.00000    -0.00038
    -0.66059    -0.00000    -0.00015     0.00000    -0.00015
    -0.65059    -0.00000    -0.00005     0.00000    -0.00005
    -0.64059    -0.00000    -0.00002     0.00000    -0.00002
    -0.63059    -0.00000    -0.00001     0.00000    -0.00001
    -0.62059    -0.00000    -0.00000     0.00000    -0.00000
    -0.61059    -0.00000    -0.00000     0.00000    -0.00000
    -0.60059    -0.00000    -0.00000     0.00000    -0.00000
    -0.59059    -0.00000    -0.00001     0.00000    -0.00001
    -0.58059    -0.00000    -0.00004     0.00000    -0.00004
    -0.57059    -0.00000    -0.00010     0.00000    -0.00010
    -0.56059    -0.00000    -0.00023     0.00000    -0.00023
    -0.55059    -0.00000    -0.00053     0.00000    -0.00053
    -0.54059    -0.00000    -0.00111     0.00000    -0.00111
    -0.53059    -0.00000    -0.00215     0.00000    -0.00215
    -0.52059    -0.00000    -0.00384     0.00000    -0.00385
    -0.51059    -0.00000    -0.00634     0.00000    -0.00634
    -0.50059    -0.00001    -0.00965     0.00000    -0.00965
    -0.49059    -0.00001    -0.01356     0.00000    -0.01357
    -0.48059    -0.00001    -0.01762     0.00000    -0.01763
    -0.47059    -0.00001    -0.02114     0.00000    -0.02115
    -0.46059    -0.00001    -0.02345     0.00000    -0.02346
    -0.45059    -0.00001    -0.02412     0.00000    -0.02413
    -0.44059    -0.00001    -0.02314     0.00000    -0.02315
    -0.43059    -0.00001    -0.02105     0.00000    -0.02107
    -0.42059    -0.00001    -0.01888     0.00000    -0.01889
    -0.41059    -0.00001    -0.01799     0.00000    -0.01800
    -0.40059    -0.00001    -0.01977     0.00000    -0.01978
    -0.39059    -0.00002    -0.02544     0.00000    -0.02546
    -0.38059    -0.00003    -0.03564     0.00000    -0.03567
    -0.37059    -0.00004    -0.05011     0.00000    -0.05014
    -0.36059    -0.00005    -0.06745     0.00000    -0.06750
    -0.35059    -0.00006    -0.08522     0.00000    -0.08528
    -0.34059    -0.00008    -0.10044     0.00000    -0.10052
    -0.33059    -0.00008    -0.11049     0.00000    -0.11057
    -0.32059    -0.00009    -0.11399     0.00000    -0.11407
    -0.31059    -0.00009    -0.11132     0.00000    -0.11141
    -0.30059    -0.00008    -0.10439     0.00000    -0.10447
    -0.29059    -0.00008    -0.09568     0.00000    -0.09576
    -0.28059    -0.00008    -0.08724     0.00000    -0.08732
    -0.27059    -0.00008    -0.07994     0.00000    -0.08002
    -0.26059    -0.00007    -0.07340     0.00000    -0.07348
    -0.25059    -0.00007    -0.06658     0.00000    -0.06665
    -0.24059    -0.00006    -0.05855     0.00000    -0.05861
    -0.23059    -0.00005    -0.04911     0.00000    -0.04916
    -0.22059    -0.00004    -0.03879     0.00000    -0.03883
    -0.21059    -0.00003    -0.02861     0.00000    -0.02864
    -0.20059    -0.00002    -0.01963     0.00000    -0.01965
    -0.19059    -0.00001    -0.01248     0.00000    -0.01249
    -0.18059    -0.00001    -0.00734     0.00000    -0.00735
    -0.17059    -0.00000    -0.00400     0.00000    -0.00400
    -0.16059    -0.00000    -0.00201     0.00000    -0.00201
    -0.15059    -0.00000    -0.00093     0.00000    -0.00093
    -0.14059    -0.00000    -0.00040     0.00000    -0.00040
    -0.13059    -0.00000    -0.00016     0.00000    -0.00016
    -0.12059    -0.00000    -0.00006     0.00000    -0.00006
    -0.11059    -0.00000    -0.00002     0.00000    -0.00002
    -0.10059    -0.00000    -0.00001     0.00000    -0.00001
    -0.08959    -0.00000    -0.00000     0.00000    -0.00000
    -0.07959    -0.00000    -0.00000     0.00000    -0.00000
    -0.06959    -0.00000    -0.00000     0.00000    -0.00000
    -0.05959    -0.00000    -0.00000     0.00000    -0.00000
    -0.04959    -0.00000    -0.00000     0.00000    -0.00000
    -0.03959    -0.00000    -0.00000     0.00000    -0.00000
    -0.02959    -0.00000    -0.00000     0.00000    -0.00000
    -0.01959    -0.00000    -0.00000     0.00000    -0.00000
    -0.00959    -0.00000    -0.00000     0.00000    -0.00000
     0.00041    -0.00000    -0.00000     0.00000    -0.00000
     0.01041    -0.00000    -0.00000     0.00000    -0.00000
     0.02041    -0.00000    -0.00000     0.00000    -0.00000
     0.03041    -0.00000    -0.00000     0.00000    -0.00000
     0.04041    -0.00000    -0.00000     0.00000    -0.00000
     0.05041     0.00000     0.00000     0.00000     0.00000
     0.06041     0.00000     0.00000     0.00000     0.00000
     0.07041     0.00000     0.00000     0.00000     0.00000
     0.08041     0.00000     0.00000     0.00000     0.00000
     0.09041     0.00000     0.00000     0.00000     0.00000
     0.10041     0.00000     0.00000     0.00000     0.00000
     0.11041     0.00000     0.00000     0.00000     0.00000
     0.12041     0.00000     0.00000     0.00000     0.00000
     0.13041    -0.00000    -0.00000     0.00000    -0.00000
     0.14041    -0.00000    -0.00000     0.00000    -0.00000
     0.15041    -0.00000    -0.00000     0.00000    -0.00000
     0.16041    -0.00000    -0.00000     0.00000    -0.00000
     0.17041    -0.00000    -0.00000     0.00000    -0.00000
     0.18041    -0.00000    -0.00000     0.00000    -0.00000
     0.19041    -0.00000    -0.00000     0.00000    -0.00000
     0.20041    -0.00000    -0.00000     0.00000    -0.00000
     0.21041    -0.00000    -0.00000     0.00000    -0.00000
     0.22041    -0.00000    -0.00000     0.00000    -0.00000
     0.23041    -0.00000    -0.00000     0.00000    -0.00000
     0.24041    -0.00000    -0.00000     0.00000    -0.00000
     0.25041    -0.00000    -0.00000     0.00000    -0.00000
     0.26041    -0.00000    -0.00000     0.00000    -0.00000
     0.27041    -0.00000    -0.00001     0.00000    -0.00001
     0.28041    -0.00000    -0.00002     0.00000    -0.00002
     0.29041    -0.00000    -0.00006     0.00000    -0.00006
     0.30041    -0.00000    -0.00018     0.00000    -0.00018
     0.31041    -0.00000    -0.00048     0.00000    -0.00048
     0.32041    -0.00000    -0.00120     0.00000    -0.00120
     0.33041    -0.00000    -0.00274     0.00000    -0.00274
     0.34041    -0.00000    -0.00579     0.00000    -0.00580
     0.35041    -0.00000    -0.01131     0.00000    -0.01132
     0.36041    -0.00001    -0.02039     0.00000    -0.02040
     0.37041    -0.00001    -0.03395     0.00000    -0.03396
     0.38041    -0.00002    -0.05220     0.00000    -0.05222
     0.39041    -0.00002    -0.07411     0.00000    -0.07413
     0.40041    -0.00003    -0.09715     0.00000    -0.09718
     0.41041    -0.00004    -0.11762     0.00000    -0.11766
     0.42041    -0.00004    -0.13151     0.00000    -0.13155
     0.43041    -0.00004    -0.13577     0.00000    -0.13581
     0.44041    -0.00004    -0.12945     0.00000    -0.12948
     0.45041    -0.00003    -0.11396     0.00000    -0.11400
     0.46041    -0.00003    -0.09266     0.00000    -0.09269
     0.47041    -0.00002    -0.06957     0.00000    -0.06959
     0.48041    -0.00001    -0.04824     0.00000    -0.04826
