     #Energy           s           p           d       tot  
    -1.59159   247.49000   526.60000     0.00000   774.09000
    -1.58159     0.00004     0.05075     0.00000     0.05079
    -1.57159     0.00004     0.05220     0.00000     0.05224
    -1.56159     0.00005     0.06125     0.00000     0.06130
    -1.55159     0.00007     0.07574     0.00000     0.07580
    -1.54159     0.00008     0.09211     0.00000     0.09219
    -1.53159     0.00010     0.10617     0.00000     0.10626
    -1.52159     0.00010     0.11416     0.00000     0.11426
    -1.51159     0.00010     0.11388     0.00000     0.11398
    -1.50159     0.00009     0.10519     0.00000     0.10528
    -1.49159     0.00008     0.09010     0.00000     0.09018
    -1.48159     0.00006     0.07199     0.00000     0.07206
    -1.47159     0.00005     0.05446     0.00000     0.05450
    -1.46159     0.00003     0.04043     0.00000     0.04046
    -1.45159     0.00002     0.03150     0.00000     0.03153
    -1.44159     0.00002     0.02801     0.00000     0.02803
    -1.43159     0.00001     0.02914     0.00000     0.02915
    -1.42159     0.00001     0.03341     0.00000     0.03342
    -1.41159     0.00001     0.03906     0.00000     0.03907
    -1.40159     0.00001     0.04441     0.00000     0.04442
    -1.39159     0.00001     0.04814     0.00000     0.04815
    -1.38159     0.00001     0.04940     0.00000     0.04941
    -1.37159     0.00001     0.04798     0.00000     0.04800
    -1.36159     0.00001     0.04414     0.00000     0.04415
    -1.35159     0.00001     0.03848     0.00000     0.03849
    -1.34159     0.00001     0.03178     0.00000     0.03178
    -1.33159     0.00001     0.02483     0.00000     0.02484
    -1.32159     0.00000     0.01838     0.00000     0.01839
    -1.31159     0.00000     0.01296     0.00000     0.01296
    -1.30159     0.00000     0.00894     0.00000     0.00894
    -1.29159     0.00000     0.00653     0.00000     0.00653
    -1.28159     0.00000     0.00586     0.00000     0.00586
    -1.27159     0.00000     0.00706     0.00000     0.00706
    -1.26159     0.00001     0.01036     0.00000     0.01037
    -1.25159     0.00001     0.01615     0.00000     0.01616
    -1.24159     0.00002     0.02504     0.00000     0.02506
    -1.23159     0.00002     0.03808     0.00000     0.03810
    -1.22159     0.00003     0.05683     0.00000     0.05686
    -1.21159     0.00004     0.08340     0.00000     0.08344
    -1.20159     0.00005     0.12009     0.00000     0.12014
    -1.19159     0.00006     0.16864     0.00000     0.16870
    -1.18159     0.00007     0.22914     0.00000     0.22921
    -1.17159     0.00009     0.29934     0.00000     0.29943
    -1.16159     0.00011     0.37402     0.00000     0.37413
    -1.15159     0.00013     0.44650     0.00000     0.44663
    -1.14159     0.00015     0.50964     0.00000     0.50979
    -1.13159     0.00016     0.55700     0.00000     0.55716
    -1.12159     0.00017     0.58450     0.00000     0.58467
    -1.11159     0.00017     0.58993     0.00000     0.59010
    -1.10159     0.00017     0.57280     0.00000     0.57297
    -1.09059     0.00016     0.53402     0.00000     0.53418
    -1.08059     0.00015     0.47647     0.00000     0.47662
    -1.07059     0.00013     0.40497     0.00000     0.40510
    -1.06059     0.00011     0.32680     0.00000     0.32691
    -1.05059     0.00009     0.24975     0.00000     0.24984
    -1.04059     0.00008     0.18122     0.00000     0.18130
    -1.03059     0.00007     0.12613     0.00000     0.12620
    -1.02059     0.00007     0.08616     0.00000     0.08623
    -1.01059     0.00008     0.06003     0.00000     0.06011
    -1.00059     0.00008     0.04442     0.00000     0.04450
    -0.99059     0.00009     0.03548     0.00000     0.03557
    -0.98059     0.00008     0.02987     0.00000     0.02995
    -0.97059     0.00008     0.02533     0.00000     0.02540
    -0.96059     0.00007     0.02081     0.00000     0.02088
    -0.95059     0.00005     0.01618     0.00000     0.01623
    -0.94059     0.00004     0.01175     0.00000     0.01179
    -0.93059     0.00003     0.00792     0.00000     0.00795
    -0.92059     0.00002     0.00495     0.00000     0.00497
    -0.91059     0.00001     0.00287     0.00000     0.00288
    -0.90059     0.00001     0.00157     0.00000     0.00157
    -0.89059     0.00000     0.00089     0.00000     0.00089
    -0.88059     0.00000     0.00071     0.00000     0.00071
    -0.87059     0.00000     0.00104     0.00000     0.00104
    -0.86059     0.00000     0.00207     0.00000     0.00207
    -0.85059     0.00000     0.00423     0.00000     0.00423
    -0.84059     0.00000     0.00813     0.00000     0.00813
    -0.83059     0.00000     0.01447     0.00000     0.01447
    -0.82059     0.00001     0.02379     0.00000     0.02379
    -0.81059     0.00001     0.03612     0.00000     0.03613
    -0.80059     0.00001     0.05065     0.00000     0.05067
    -0.79059     0.00002     0.06559     0.00000     0.06560
    -0.78059     0.00002     0.07845     0.00000     0.07846
    -0.77059     0.00002     0.08662     0.00000     0.08664
    -0.76059     0.00002     0.08834     0.00000     0.08836
    -0.75059     0.00002     0.08319     0.00000     0.08321
    -0.74059     0.00002     0.07235     0.00000     0.07237
    -0.73059     0.00001     0.05810     0.00000     0.05811
    -0.72059     0.00001     0.04309     0.00000     0.04310
    -0.71059     0.00001     0.02951     0.00000     0.02952
    -0.70059     0.00000     0.01866     0.00000     0.01867
    -0.69059     0.00000     0.01090     0.00000     0.01090
    -0.68059     0.00000     0.00588     0.00000     0.00588
    -0.67059     0.00000     0.00293     0.00000     0.00293
    -0.66059     0.00000     0.00135     0.00000     0.00135
