     #Energy           s           p           d       tot  
    -1.59159  -318.44000  -692.10000     0.00000 -1010.54000
    -1.58159    -0.00036    -0.00654     0.00000    -0.00690
    -1.57159    -0.00048    -0.00695     0.00000    -0.00743
    -1.56159    -0.00079    -0.01012     0.00000    -0.01091
    -1.55159    -0.00133    -0.01629     0.00000    -0.01761
    -1.54159    -0.00210    -0.02559     0.00000    -0.02769
    -1.53159    -0.00310    -0.03768     0.00000    -0.04077
    -1.52159    -0.00423    -0.05153     0.00000    -0.05576
    -1.51159    -0.00534    -0.06541     0.00000    -0.07074
    -1.50159    -0.00624    -0.07722     0.00000    -0.08346
    -1.49159    -0.00677    -0.08534     0.00000    -0.09210
    -1.48159    -0.00684    -0.08925     0.00000    -0.09608
    -1.47159    -0.00649    -0.08991     0.00000    -0.09639
    -1.46159    -0.00585    -0.08946     0.00000    -0.09531
    -1.45159    -0.00513    -0.09039     0.00000    -0.09552
    -1.44159    -0.00448    -0.09447     0.00000    -0.09895
    -1.43159    -0.00402    -0.10208     0.00000    -0.10610
    -1.42159    -0.00375    -0.11231     0.00000    -0.11606
    -1.41159    -0.00362    -0.12345     0.00000    -0.12708
    -1.40159    -0.00356    -0.13381     0.00000    -0.13737
    -1.39159    -0.00350    -0.14225     0.00000    -0.14575
    -1.38159    -0.00340    -0.14807     0.00000    -0.15147
    -1.37159    -0.00325    -0.15058     0.00000    -0.15382
    -1.36159    -0.00304    -0.14888     0.00000    -0.15193
    -1.35159    -0.00277    -0.14205     0.00000    -0.14483
    -1.34159    -0.00244    -0.12959     0.00000    -0.13203
    -1.33159    -0.00207    -0.11220     0.00000    -0.11427
    -1.32159    -0.00168    -0.09186     0.00000    -0.09353
    -1.31159    -0.00132    -0.07145     0.00000    -0.07277
    -1.30159    -0.00106    -0.05418     0.00000    -0.05525
    -1.29159    -0.00097    -0.04284     0.00000    -0.04381
    -1.28159    -0.00110    -0.03935     0.00000    -0.04045
    -1.27159    -0.00151    -0.04467     0.00000    -0.04618
    -1.26159    -0.00226    -0.05872     0.00000    -0.06098
    -1.25159    -0.00337    -0.08039     0.00000    -0.08376
    -1.24159    -0.00489    -0.10756     0.00000    -0.11245
    -1.23159    -0.00681    -0.13736     0.00000    -0.14417
    -1.22159    -0.00914    -0.16681     0.00000    -0.17595
    -1.21159    -0.01183    -0.19344     0.00000    -0.20527
    -1.20159    -0.01481    -0.21583     0.00000    -0.23064
    -1.19159    -0.01791    -0.23357     0.00000    -0.25148
    -1.18159    -0.02089    -0.24709     0.00000    -0.26798
    -1.17159    -0.02346    -0.25666     0.00000    -0.28012
    -1.16159    -0.02534    -0.26224     0.00000    -0.28758
    -1.15159    -0.02627    -0.26321     0.00000    -0.28948
    -1.14159    -0.02614    -0.25893     0.00000    -0.28507
    -1.13159    -0.02492    -0.24833     0.00000    -0.27325
    -1.12159    -0.02277    -0.23125     0.00000    -0.25402
    -1.11159    -0.01990    -0.20798     0.00000    -0.22788
    -1.10159    -0.01663    -0.18001     0.00000    -0.19664
    -1.09059    -0.01328    -0.14946     0.00000    -0.16274
    -1.08059    -0.01013    -0.11936     0.00000    -0.12949
    -1.07059    -0.00747    -0.09275     0.00000    -0.10022
    -1.06059    -0.00545    -0.07231     0.00000    -0.07775
    -1.05059    -0.00413    -0.05971     0.00000    -0.06384
    -1.04059    -0.00348    -0.05531     0.00000    -0.05879
    -1.03059    -0.00337    -0.05793     0.00000    -0.06130
    -1.02059    -0.00361    -0.06513     0.00000    -0.06874
    -1.01059    -0.00400    -0.07358     0.00000    -0.07757
    -1.00059    -0.00430    -0.07993     0.00000    -0.08424
    -0.99059    -0.00438    -0.08165     0.00000    -0.08603
    -0.98059    -0.00416    -0.07760     0.00000    -0.08176
    -0.97059    -0.00366    -0.06832     0.00000    -0.07198
    -0.96059    -0.00298    -0.05563     0.00000    -0.05861
    -0.95059    -0.00224    -0.04185     0.00000    -0.04409
    -0.94059    -0.00156    -0.02909     0.00000    -0.03065
    -0.93059    -0.00100    -0.01868     0.00000    -0.01968
    -0.92059    -0.00060    -0.01113     0.00000    -0.01173
    -0.91059    -0.00034    -0.00625     0.00000    -0.00658
    -0.90059    -0.00020    -0.00356     0.00000    -0.00376
    -0.89059    -0.00016    -0.00262     0.00000    -0.00278
    -0.88059    -0.00022    -0.00325     0.00000    -0.00347
    -0.87059    -0.00040    -0.00562     0.00000    -0.00601
    -0.86059    -0.00073    -0.01022     0.00000    -0.01095
    -0.85059    -0.00127    -0.01768     0.00000    -0.01894
    -0.84059    -0.00204    -0.02840     0.00000    -0.03043
    -0.83059    -0.00302    -0.04217     0.00000    -0.04520
    -0.82059    -0.00415    -0.05784     0.00000    -0.06199
    -0.81059    -0.00525    -0.07328     0.00000    -0.07853
    -0.80059    -0.00615    -0.08572     0.00000    -0.09187
    -0.79059    -0.00664    -0.09260     0.00000    -0.09924
    -0.78059    -0.00662    -0.09237     0.00000    -0.09899
    -0.77059    -0.00610    -0.08510     0.00000    -0.09120
    -0.76059    -0.00519    -0.07240     0.00000    -0.07759
    -0.75059    -0.00408    -0.05688     0.00000    -0.06096
    -0.74059    -0.00296    -0.04126     0.00000    -0.04422
    -0.73059    -0.00198    -0.02764     0.00000    -0.02962
    -0.72059    -0.00123    -0.01710     0.00000    -0.01833
    -0.71059    -0.00070    -0.00977     0.00000    -0.01047
    -0.70059    -0.00037    -0.00515     0.00000    -0.00552
    -0.69059    -0.00018    -0.00251     0.00000    -0.00269
    -0.68059    -0.00008    -0.00113     0.00000    -0.00121
    -0.67059    -0.00003    -0.00047     0.00000    -0.00050
    -0.66059    -0.00001    -0.00018     0.00000    -0.00019
    -0.65059    -0.00000    -0.00006     0.00000    -0.00007
    -0.64059    -0.00000    -0.00002     0.00000    -0.00002
    -0.63059    -0.00000    -0.00001     0.00000    -0.00001
    -0.62059    -0.00000    -0.00000     0.00000    -0.00000
    -0.61059    -0.00000    -0.00001     0.00000    -0.00001
