     #Energy           s           p           d       tot  
    -1.59159   318.43000   691.80000     0.00000  1010.23000
    -1.58159     0.00173     0.03122     0.00000     0.03295
    -1.57159     0.00218     0.03432     0.00000     0.03650
    -1.56159     0.00290     0.04219     0.00000     0.04509
    -1.55159     0.00382     0.05342     0.00000     0.05723
    -1.54159     0.00476     0.06561     0.00000     0.07037
    -1.53159     0.00554     0.07594     0.00000     0.08149
    -1.52159     0.00598     0.08187     0.00000     0.08785
    -1.51159     0.00598     0.08188     0.00000     0.08785
    -1.50159     0.00553     0.07612     0.00000     0.08164
    -1.49159     0.00474     0.06626     0.00000     0.07100
    -1.48159     0.00380     0.05513     0.00000     0.05894
    -1.47159     0.00291     0.04594     0.00000     0.04885
    -1.46159     0.00221     0.04154     0.00000     0.04374
    -1.45159     0.00180     0.04382     0.00000     0.04561
    -1.44159     0.00169     0.05357     0.00000     0.05526
    -1.43159     0.00186     0.07035     0.00000     0.07221
    -1.42159     0.00220     0.09252     0.00000     0.09472
    -1.41159     0.00264     0.11751     0.00000     0.12014
    -1.40159     0.00305     0.14219     0.00000     0.14524
    -1.39159     0.00336     0.16324     0.00000     0.16660
    -1.38159     0.00350     0.17768     0.00000     0.18118
    -1.37159     0.00346     0.18330     0.00000     0.18677
    -1.36159     0.00325     0.17903     0.00000     0.18227
    -1.35159     0.00288     0.16521     0.00000     0.16810
    -1.34159     0.00242     0.14372     0.00000     0.14614
    -1.33159     0.00193     0.11753     0.00000     0.11945
    -1.32159     0.00145     0.09030     0.00000     0.09176
    -1.31159     0.00105     0.06547     0.00000     0.06652
    -1.30159     0.00077     0.04572     0.00000     0.04649
    -1.29159     0.00063     0.03278     0.00000     0.03341
    -1.28159     0.00068     0.02744     0.00000     0.02812
    -1.27159     0.00092     0.02990     0.00000     0.03083
    -1.26159     0.00140     0.03989     0.00000     0.04128
    -1.25159     0.00210     0.05653     0.00000     0.05864
    -1.24159     0.00303     0.07816     0.00000     0.08119
    -1.23159     0.00416     0.10228     0.00000     0.10645
    -1.22159     0.00546     0.12590     0.00000     0.13136
    -1.21159     0.00693     0.14633     0.00000     0.15326
    -1.20159     0.00857     0.16200     0.00000     0.17057
    -1.19159     0.01044     0.17298     0.00000     0.18342
    -1.18159     0.01255     0.18069     0.00000     0.19324
    -1.17159     0.01486     0.18714     0.00000     0.20200
    -1.16159     0.01721     0.19387     0.00000     0.21108
    -1.15159     0.01941     0.20153     0.00000     0.22094
    -1.14159     0.02122     0.20966     0.00000     0.23088
    -1.13159     0.02246     0.21722     0.00000     0.23968
    -1.12159     0.02301     0.22271     0.00000     0.24572
    -1.11159     0.02283     0.22438     0.00000     0.24721
    -1.10159     0.02191     0.22085     0.00000     0.24276
    -1.09059     0.02030     0.21052     0.00000     0.23082
    -1.08059     0.01808     0.19322     0.00000     0.21130
    -1.07059     0.01544     0.17018     0.00000     0.18562
    -1.06059     0.01264     0.14411     0.00000     0.15675
    -1.05059     0.00998     0.11906     0.00000     0.12904
    -1.04059     0.00777     0.09882     0.00000     0.10659
    -1.03059     0.00617     0.08589     0.00000     0.09206
    -1.02059     0.00522     0.08064     0.00000     0.08586
    -1.01059     0.00480     0.08124     0.00000     0.08604
    -1.00059     0.00468     0.08436     0.00000     0.08904
    -0.99059     0.00462     0.08637     0.00000     0.09099
    -0.98059     0.00444     0.08445     0.00000     0.08890
    -0.97059     0.00404     0.07755     0.00000     0.08159
    -0.96059     0.00344     0.06626     0.00000     0.06970
    -0.95059     0.00272     0.05248     0.00000     0.05520
    -0.94059     0.00199     0.03844     0.00000     0.04043
    -0.93059     0.00135     0.02602     0.00000     0.02736
    -0.92059     0.00084     0.01627     0.00000     0.01712
    -0.91059     0.00049     0.00941     0.00000     0.00990
    -0.90059     0.00026     0.00506     0.00000     0.00533
    -0.89059     0.00014     0.00262     0.00000     0.00275
    -0.88059     0.00009     0.00151     0.00000     0.00160
    -0.87059     0.00010     0.00143     0.00000     0.00152
    -0.86059     0.00017     0.00234     0.00000     0.00251
    -0.85059     0.00034     0.00458     0.00000     0.00492
    -0.84059     0.00065     0.00872     0.00000     0.00937
    -0.83059     0.00116     0.01550     0.00000     0.01666
    -0.82059     0.00190     0.02548     0.00000     0.02739
    -0.81059     0.00289     0.03869     0.00000     0.04158
    -0.80059     0.00405     0.05424     0.00000     0.05830
    -0.79059     0.00525     0.07025     0.00000     0.07550
    -0.78059     0.00628     0.08401     0.00000     0.09029
    -0.77059     0.00693     0.09278     0.00000     0.09971
    -0.76059     0.00707     0.09461     0.00000     0.10168
    -0.75059     0.00666     0.08910     0.00000     0.09576
    -0.74059     0.00579     0.07749     0.00000     0.08328
    -0.73059     0.00465     0.06222     0.00000     0.06687
    -0.72059     0.00345     0.04615     0.00000     0.04960
    -0.71059     0.00236     0.03161     0.00000     0.03397
    -0.70059     0.00149     0.01999     0.00000     0.02148
    -0.69059     0.00087     0.01167     0.00000     0.01255
    -0.68059     0.00047     0.00630     0.00000     0.00677
    -0.67059     0.00023     0.00314     0.00000     0.00337
    -0.66059     0.00011     0.00144     0.00000     0.00155
    -0.65059     0.00005     0.00061     0.00000     0.00066
    -0.64059     0.00002     0.00024     0.00000     0.00026
    -0.63059     0.00001     0.00009     0.00000     0.00009
    -0.62059     0.00000     0.00003     0.00000     0.00003
    -0.61059     0.00000     0.00001     0.00000     0.00001
    -0.60059     0.00000     0.00000     0.00000     0.00000
    -0.59059     0.00000     0.00000     0.00000     0.00000
    -0.58059     0.00000     0.00000     0.00000     0.00000
    -0.57059     0.00000     0.00001     0.00000     0.00001
    -0.56059     0.00000     0.00004     0.00000     0.00004
